Category: All categories

Country,data analysis: (6/25/19 - 6/25/20)
Ethiopia,100
Botswana,87
Lesotho,
Zimbabwe,85
Malawi,83
Bhutan,
South Sudan,
Papua New Guinea,
Eswatini,
Uganda,53
Kenya,52
Sierra Leone,
Zambia,50
Rwanda,
Namibia,
Ghana,40
Tanzania,39
Nigeria,39
Philippines,37
China,35
Somalia,
Jamaica,32
Nepal,29
Guyana,
Singapore,26
Fiji,
Belize,
Maldives,
Myanmar (Burma),25
Cameroon,
South Africa,24
Sri Lanka,23
Mauritius,
St. Helena,22
Pakistan,18
Trinidad & Tobago,
Afghanistan,
Malta,
Hong Kong,16
Malaysia,16
India,16
Brunei,
Ireland,15
United Arab Emirates,14
Barbados,
Oman,
Australia,13
Cyprus,
Bangladesh,13
New Zealand,12
United States,12
Macao,
Laos,
South Korea,11
Bahrain,
Qatar,
Canada,11
United Kingdom,11
Lebanon,
Sudan,
Mongolia,
Jordan,9
Albania,
Egypt,7
Cambodia,
Denmark,7
Switzerland,7
Netherlands,7
Luxembourg,
Israel,6
Finland,6
Armenia,
Estonia,
Saudi Arabia,6
Latvia,
Vietnam,5
Thailand,5
Portugal,5
Palestine,
Norway,5
Tunisia,
Greece,5
Sweden,5
Yemen,
Belgium,5
Puerto Rico,
Taiwan,5
Iraq,
North Macedonia,
Indonesia,4
Kuwait,
Azerbaijan,
Lithuania,
Morocco,4
Slovenia,
Austria,3
Germany,3
Czechia,3
Kazakhstan,3
Algeria,
Iran,3
Romania,3
Georgia,
Bulgaria,
Italy,3
Serbia,
Croatia,
Costa Rica,
Slovakia,
Panama,
Spain,2
Hungary,
Syria,
Turkey,2
Colombia,2
France,2
Chile,2
Poland,1
Ecuador,
Mexico,1
Peru,1
Russia,1
Uzbekistan,
Belarus,
Bosnia & Herzegovina,
Ukraine,1
Brazil,1
Dominican Republic,
Japan,1
Argentina,1
Guatemala,
Venezuela,
Eritrea,
Solomon Islands,
Micronesia,
Samoa,
Vanuatu,
Tonga,
St. Vincent & Grenadines,
Dominica,
St. Lucia,
Liberia,
Gibraltar,
Antigua & Barbuda,
Mayotte,
Grenada,
Turks & Caicos Islands,
Greenland,
St. Kitts & Nevis,
Northern Mariana Islands,
Cayman Islands,
Timor-Leste,
Bermuda,
Guam,
Curaçao,
Jersey,
Faroe Islands,
Bahamas,
Gambia,
Djibouti,
U.S. Virgin Islands,
Burundi,
New Caledonia,
French Guiana,
Mali,
Cape Verde,
Guernsey,
Turkmenistan,
Andorra,
Aruba,
Madagascar,
Benin,
Niger,
Cuba,
Iceland,
Isle of Man,
Mauritania,
Congo - Kinshasa,
Mozambique,
Togo,
Libya,
Gabon,
Kosovo,
Senegal,
Suriname,
Burkina Faso,
Angola,
Nicaragua,
El Salvador,
Tajikistan,
Uruguay,
Côte d’Ivoire,
Kyrgyzstan,
Paraguay,
Montenegro,
Moldova,
Bolivia,
Honduras,
Anguilla,
Åland Islands,
American Samoa,
Antarctica,
French Southern Territories,
Caribbean Netherlands,
St. Barthélemy,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Congo - Brazzaville,
Cook Islands,
Comoros,
Christmas Island,
Western Sahara,
Falkland Islands (Islas Malvinas),
Guinea,
Guadeloupe,
Guinea-Bissau,
Equatorial Guinea,
Heard & McDonald Islands,
Haiti,
British Indian Ocean Territory,
Kiribati,
Liechtenstein,
St. Martin,
Monaco,
Marshall Islands,
Montserrat,
Martinique,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
North Korea,
French Polynesia,
Réunion,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
San Marino,
St. Pierre & Miquelon,
São Tomé & Príncipe,
Sint Maarten,
Seychelles,
Chad,
Tokelau,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
British Virgin Islands,
Wallis & Futuna,
