Date,No. of searches
6/30/2019,70
7/7/2019,74
7/14/2019,76
7/21/2019,74
7/28/2019,66
8/4/2019,67
8/11/2019,69
8/18/2019,80
8/25/2019,84
9/1/2019,82
9/8/2019,94
9/15/2019,99
9/22/2019,93
9/29/2019,87
10/6/2019,87
10/13/2019,92
10/20/2019,89
10/27/2019,85
11/3/2019,96
11/10/2019,94
11/17/2019,95
11/24/2019,82
12/1/2019,90
12/8/2019,84
12/15/2019,73
12/22/2019,48
12/29/2019,50
1/5/2020,80
1/12/2020,80
1/19/2020,85
1/26/2020,84
2/2/2020,85
2/9/2020,95
2/16/2020,95
2/23/2020,95
3/1/2020,100
3/8/2020,82
3/15/2020,73
3/22/2020,74
3/29/2020,80
4/5/2020,82
4/12/2020,88
4/19/2020,98
4/26/2020,87
5/3/2020,87
5/10/2020,88
5/17/2020,85
5/24/2020,75
5/31/2020,85
6/7/2020,81
6/14/2020,81
6/21/2020,82
