Category: All categories

Country,Data analysis: (6/25/19 - 6/25/20)
Malawi,
China,100
Botswana,
Zimbabwe,79
Ethiopia,61
Lesotho,
Eswatini,
Singapore,52
Bhutan,
Kenya,45
Rwanda,
Zambia,
Nigeria,38
Namibia,
Uganda,37
Sierra Leone,
Cameroon,
South Sudan,
Antigua & Barbuda,
Tanzania,32
Philippines,32
Papua New Guinea,
Ghana,31
Madagascar,
Timor-Leste,
Liberia,
Israel,27
St. Lucia,
Jamaica,
Ireland,24
St. Helena,
South Africa,24
Hong Kong,23
Nepal,23
Caribbean Netherlands,
Somalia,
Brunei,
Mozambique,
Fiji,
India,21
Indonesia,21
Belize,
Macao,
Sri Lanka,20
Maldives,
Mauritius,
Niger,
Laos,
Malaysia,19
United Arab Emirates,19
Australia,18
Afghanistan,
Myanmar (Burma),
Guyana,
Canada,17
Bahamas,
United States,16
Pakistan,16
Taiwan,16
United Kingdom,15
Qatar,
Barbados,
Trinidad & Tobago,
Mongolia,
Senegal,
New Zealand,14
Burkina Faso,
Gambia,
Thailand,13
Cambodia,
Oman,
Benin,
Cyprus,
Iran,12
Tunisia,
Gabon,
Côte d’Ivoire,
El Salvador,
Netherlands,12
Sudan,
Bahrain,
Lebanon,
Bangladesh,11
Luxembourg,
Congo - Kinshasa,
Palestine,
Malta,
Costa Rica,
Cayman Islands,
Vietnam,10
Suriname,
Yemen,
South Korea,9
Saudi Arabia,9
Nicaragua,
Egypt,9
Panama,
New Caledonia,
Angola,
Estonia,
Haiti,
Colombia,9
Guatemala,
Jordan,
Switzerland,8
Azerbaijan,
Ecuador,8
Honduras,
Puerto Rico,
Iceland,
Morocco,8
Portugal,7
Peru,7
Japan,7
Lithuania,
Mexico,7
Belgium,7
Dominican Republic,
Albania,
Turkey,6
North Macedonia,
Kuwait,
Armenia,
Algeria,6
Denmark,6
Mali,
Germany,6
Georgia,
Paraguay,
Greece,6
Chile,6
France,5
Finland,5
Norway,5
Sweden,5
Spain,5
Réunion,
Bolivia,
Venezuela,5
Libya,
Kazakhstan,5
Serbia,
Iraq,
Italy,4
Latvia,
Poland,4
Kosovo,
Russia,4
Uruguay,
Austria,4
Belarus,
Brazil,4
Hungary,4
Czechia,4
Syria,
Moldova,
Bosnia & Herzegovina,
Croatia,
Romania,3
Argentina,3
Bulgaria,
Ukraine,3
Slovenia,
Uzbekistan,
Slovakia,
Kyrgyzstan,
Eritrea,
Montserrat,
São Tomé & Príncipe,
Micronesia,
Solomon Islands,
St. Kitts & Nevis,
Grenada,
Central African Republic,
Dominica,
Vanuatu,
American Samoa,
Faroe Islands,
Mayotte,
Samoa,
San Marino,
Turks & Caicos Islands,
British Virgin Islands,
Equatorial Guinea,
Gibraltar,
Seychelles,
Curaçao,
Burundi,
St. Vincent & Grenadines,
Djibouti,
Northern Mariana Islands,
Guam,
Bermuda,
Togo,
Congo - Brazzaville,
French Polynesia,
Western Sahara,
Cape Verde,
Sint Maarten,
Andorra,
Aruba,
U.S. Virgin Islands,
Guernsey,
Chad,
Guinea,
Guadeloupe,
Isle of Man,
Mauritania,
Martinique,
Tajikistan,
Jersey,
Cuba,
Montenegro,
Turkmenistan,
Anguilla,
Åland Islands,
Antarctica,
French Southern Territories,
St. Barthélemy,
Bouvet Island,
Cocos (Keeling) Islands,
Cook Islands,
Comoros,
Christmas Island,
Falkland Islands (Islas Malvinas),
Guinea-Bissau,
Greenland,
French Guiana,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
Liechtenstein,
St. Martin,
Monaco,
Marshall Islands,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
North Korea,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
St. Pierre & Miquelon,
Tokelau,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
Wallis & Futuna,
