Date,No. of searches
6/30/2019,78
7/7/2019,82
7/14/2019,85
7/21/2019,81
7/28/2019,80
8/4/2019,84
8/11/2019,85
8/18/2019,91
8/25/2019,86
9/1/2019,88
9/8/2019,94
9/15/2019,99
9/22/2019,99
9/29/2019,93
10/6/2019,94
10/13/2019,98
10/20/2019,94
10/27/2019,91
11/3/2019,96
11/10/2019,97
11/17/2019,96
11/24/2019,92
12/1/2019,94
12/8/2019,94
12/15/2019,88
12/22/2019,67
12/29/2019,74
1/5/2020,97
1/12/2020,95
1/19/2020,96
1/26/2020,94
2/2/2020,92
2/9/2020,94
2/16/2020,100
2/23/2020,98
3/1/2020,98
3/8/2020,87
3/15/2020,75
3/22/2020,75
3/29/2020,75
4/5/2020,79
4/12/2020,87
4/19/2020,86
4/26/2020,85
5/3/2020,89
5/10/2020,92
5/17/2020,86
5/24/2020,85
5/31/2020,91
6/7/2020,94
6/14/2020,93
6/21/2020,83
