Date,No. of searches
6/30/2019,73
7/7/2019,79
7/14/2019,78
7/21/2019,79
7/28/2019,79
8/4/2019,78
8/11/2019,79
8/18/2019,91
8/25/2019,91
9/1/2019,86
9/8/2019,94
9/15/2019,92
9/22/2019,91
9/29/2019,86
10/6/2019,86
10/13/2019,89
10/20/2019,83
10/27/2019,81
11/3/2019,86
11/10/2019,86
11/17/2019,89
11/24/2019,78
12/1/2019,84
12/8/2019,79
12/15/2019,81
12/22/2019,67
12/29/2019,71
1/5/2020,89
1/12/2020,91
1/19/2020,93
1/26/2020,93
2/2/2020,91
2/9/2020,94
2/16/2020,97
2/23/2020,100
3/1/2020,95
3/8/2020,84
3/15/2020,73
3/22/2020,71
3/29/2020,74
4/5/2020,83
4/12/2020,84
4/19/2020,84
4/26/2020,81
5/3/2020,80
5/10/2020,85
5/17/2020,81
5/24/2020,83
5/31/2020,83
6/7/2020,86
6/14/2020,83
6/21/2020,82
