Category: All categories

Country,Data science: (6/25/19 - 6/25/20)
Zimbabwe,
Rwanda,
Singapore,100
Botswana,
India,90
Lesotho,
China,83
Antigua & Barbuda,
Nigeria,75
Kenya,69
Ethiopia,
New Caledonia,
St. Helena,
Pakistan,65
Ghana,63
Nepal,59
Liberia,
Malawi,
Laos,
Hong Kong,49
South Africa,48
Tunisia,46
Sri Lanka,46
United Arab Emirates,45
Mauritius,
Bangladesh,45
Cameroon,
United States,42
Australia,40
Namibia,
Canada,38
Uganda,
Lebanon,
Armenia,
Switzerland,33
Ireland,33
Malaysia,33
Qatar,
United Kingdom,32
North Macedonia,
Somalia,
Mongolia,
Bahrain,
Senegal,
Azerbaijan,
Netherlands,30
Myanmar (Burma),
Cyprus,
Philippines,28
Morocco,27
Madagascar,
New Zealand,27
Jamaica,
Zambia,
Portugal,26
Israel,26
Oman,
Luxembourg,
Macao,
Iceland,
Côte d’Ivoire,
Brunei,
Vietnam,22
Thailand,21
Afghanistan,
Tanzania,
Mozambique,
Trinidad & Tobago,
South Korea,21
Jordan,
Egypt,19
Germany,19
Palestine,
Albania,
Austria,18
Angola,
Serbia,18
Denmark,18
Greece,18
Norway,16
Saudi Arabia,16
Puerto Rico,
Kuwait,
Fiji,
Sudan,
Gabon,
Cambodia,
Belgium,15
Chile,15
Indonesia,14
Costa Rica,
Kosovo,
Brazil,13
France,13
Panama,
Sweden,13
Estonia,
Peru,13
Georgia,
Kazakhstan,12
Spain,12
Russia,12
Taiwan,12
Italy,10
Uruguay,
Finland,10
Lithuania,
Croatia,
Slovenia,
Algeria,
Belarus,
Latvia,
Colombia,9
Bulgaria,
Kyrgyzstan,
Argentina,9
Hungary,9
Bosnia & Herzegovina,
Uzbekistan,
Poland,9
Ukraine,9
Guatemala,
Ecuador,
Honduras,
Yemen,
Czechia,8
Mexico,7
Iran,7
El Salvador,
Bolivia,
Iraq,
Romania,6
Dominican Republic,
Moldova,
Syria,
Turkey,6
Slovakia,
Paraguay,
Venezuela,
Japan,2
American Samoa,
São Tomé & Príncipe,
British Virgin Islands,
Northern Mariana Islands,
Eswatini,
Central African Republic,
Vanuatu,
Cayman Islands,
St. Kitts & Nevis,
Caribbean Netherlands,
Gambia,
Liechtenstein,
Equatorial Guinea,
Bermuda,
South Sudan,
Turks & Caicos Islands,
Mayotte,
Sierra Leone,
Benin,
Burundi,
Gibraltar,
Cape Verde,
Djibouti,
St. Vincent & Grenadines,
Seychelles,
Åland Islands,
French Guiana,
Niger,
Papua New Guinea,
Bhutan,
Togo,
Guernsey,
Faroe Islands,
Congo - Brazzaville,
Sint Maarten,
Maldives,
Belize,
U.S. Virgin Islands,
Barbados,
St. Lucia,
Malta,
Timor-Leste,
Chad,
Curaçao,
Haiti,
Guyana,
Bahamas,
Guam,
Andorra,
Aruba,
Western Sahara,
Suriname,
Burkina Faso,
Libya,
Guinea,
French Polynesia,
Jersey,
Cuba,
Congo - Kinshasa,
Isle of Man,
Montenegro,
Mali,
Mauritania,
Turkmenistan,
Martinique,
Guadeloupe,
Réunion,
Nicaragua,
Tajikistan,
Anguilla,
Antarctica,
French Southern Territories,
St. Barthélemy,
Bouvet Island,
Cocos (Keeling) Islands,
Cook Islands,
Comoros,
Christmas Island,
Dominica,
Eritrea,
Falkland Islands (Islas Malvinas),
Micronesia,
Guinea-Bissau,
Grenada,
Greenland,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
St. Martin,
Monaco,
Marshall Islands,
Montserrat,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
North Korea,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Solomon Islands,
San Marino,
St. Pierre & Miquelon,
Tokelau,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
Wallis & Futuna,
Samoa,
